AA.X AA.X:AB.B
AA.Y AA.Y:BA.A

AB.X AB.X:AC.B
AB.X AB.X:AA.C
AB.Y AB.Y:BB.A

AC.X AC.X:AD.B
AC.X AC.X:AB.C
AC.Y AC.Y:BC.A

AD.X AD.X:AE.B
AD.X AD.X:AC.C
AD.Y AD.Y:BD.A

AE.X AE.X:AF.B
AE.X AE.X:AD.C
AE.Y AE.Y:BE.A

AF.X AF.X:AG.B
AF.X AF.X:AE.C
AF.Y AF.Y:BF.A

AG.X AG.X:AH.B
AG.X AG.X:AF.C
AG.Y AG.Y:BG.A

AH.X AH.X:AI.B
AH.X AH.X:AG.C
AH.Y AH.Y:BH.A

AI.X AI.X:AJ.B
AI.X AI.X:AH.C
AI.Y AI.Y:BI.A

AJ.X AJ.X:AK.B
AJ.X AJ.X:AI.C
AJ.Y AJ.Y:BJ.A

AK.X AK.X:AL.B
AK.X AK.X:AJ.C
AK.Y AK.Y:BK.A

AL.X AL.X:AM.B
AL.X AL.X:AK.C
AL.Y AL.Y:BL.A

AM.X AM.X:AN.B
AM.X AM.X:AL.C
AM.Y AM.Y:BM.A

AN.X AN.X:AO.B
AN.X AN.X:AM.C
AN.Y AN.Y:BN.A

AO.X AO.X:AP.B
AO.X AO.X:AN.C
AO.Y AO.Y:BO.A

AP.X AP.X:AQ.B
AP.X AP.X:AO.C
AP.Y AP.Y:BP.A

AQ.X AQ.X:AR.B
AQ.X AQ.X:AP.C
AQ.Y AQ.Y:BQ.A

AR.X AR.X:AS.B
AR.X AR.X:AQ.C
AR.Y AR.Y:BR.A

AS.X AS.X:AT.B
AS.X AS.X:AR.C
AS.Y AS.Y:BS.A

AT.X AT.X:AU.B
AT.X AT.X:AS.C
AT.Y AT.Y:BT.A

AU.X AU.X:AV.B
AU.X AU.X:AT.C
AU.Y AU.Y:BU.A

AV.X AV.X:AU.C
AV.Y AV.Y:BV.A

BA.X BA.X:BB.B
BA.Y BA.Y:CA.A
BA.Y BA.Y:AA.D

BB.X BB.X:BC.B
BB.X BB.X:BA.C
BB.Y BB.Y:CB.A
BB.Y BB.Y:AB.D

BC.X BC.X:BD.B
BC.X BC.X:BB.C
BC.Y BC.Y:CC.A
BC.Y BC.Y:AC.D

BD.X BD.X:BE.B
BD.X BD.X:BC.C
BD.Y BD.Y:CD.A
BD.Y BD.Y:AD.D

BE.X BE.X:BF.B
BE.X BE.X:BD.C
BE.Y BE.Y:CE.A
BE.Y BE.Y:AE.D

BF.X BF.X:BG.B
BF.X BF.X:BE.C
BF.Y BF.Y:CF.A
BF.Y BF.Y:AF.D

BG.X BG.X:BH.B
BG.X BG.X:BF.C
BG.Y BG.Y:CG.A
BG.Y BG.Y:AG.D

BH.X BH.X:BI.B
BH.X BH.X:BG.C
BH.Y BH.Y:CH.A
BH.Y BH.Y:AH.D

BI.X BI.X:BJ.B
BI.X BI.X:BH.C
BI.Y BI.Y:CI.A
BI.Y BI.Y:AI.D

BJ.X BJ.X:BK.B
BJ.X BJ.X:BI.C
BJ.Y BJ.Y:CJ.A
BJ.Y BJ.Y:AJ.D

BK.X BK.X:BL.B
BK.X BK.X:BJ.C
BK.Y BK.Y:CK.A
BK.Y BK.Y:AK.D

BL.X BL.X:BM.B
BL.X BL.X:BK.C
BL.Y BL.Y:CL.A
BL.Y BL.Y:AL.D

BM.X BM.X:BN.B
BM.X BM.X:BL.C
BM.Y BM.Y:CM.A
BM.Y BM.Y:AM.D

BN.X BN.X:BO.B
BN.X BN.X:BM.C
BN.Y BN.Y:CN.A
BN.Y BN.Y:AN.D

BO.X BO.X:BP.B
BO.X BO.X:BN.C
BO.Y BO.Y:CO.A
BO.Y BO.Y:AO.D

BP.X BP.X:BQ.B
BP.X BP.X:BO.C
BP.Y BP.Y:CP.A
BP.Y BP.Y:AP.D

BQ.X BQ.X:BR.B
BQ.X BQ.X:BP.C
BQ.Y BQ.Y:CQ.A
BQ.Y BQ.Y:AQ.D

BR.X BR.X:BS.B
BR.X BR.X:BQ.C
BR.Y BR.Y:CR.A
BR.Y BR.Y:AR.D

BS.X BS.X:BT.B
BS.X BS.X:BR.C
BS.Y BS.Y:CS.A
BS.Y BS.Y:AS.D

BT.X BT.X:BU.B
BT.X BT.X:BS.C
BT.Y BT.Y:CT.A
BT.Y BT.Y:AT.D

BU.X BU.X:BV.B
BU.X BU.X:BT.C
BU.Y BU.Y:CU.A
BU.Y BU.Y:AU.D

BV.X BV.X:BU.C
BV.Y BV.Y:CV.A
BV.Y BV.Y:AV.D

CA.X CA.X:CB.B
CA.Y CA.Y:DA.A
CA.Y CA.Y:BA.D

CB.X CB.X:CC.B
CB.X CB.X:CA.C
CB.Y CB.Y:DB.A
