P2 ON frame 93 bit 70: 0x00000000000000000, 0b000
P2 TRI frame 92 bit 70: 0x00000000000000000, 0b001
P2 Q frame 90 bit 70: 0x00000000000000000, 0b001

P3 ON frame 98 bit 70: 0x00000000000000000, 0b001
P3 TRI frame 97 bit 70: 0x00000000000000000, 0b001
P3 TRI frame 98 bit 70: 0x00000000000000000, 0b001
P3 Q frame 96 bit 70: 0x00000000000000000, 0b001

P4 ON frame 113 bit 70: 0x00000000000000000, 0b000
P4 TRI frame 112 bit 70: 0x00000000000000000, 0b001
P4 Q frame 110 bit 70: 0x00000000000000000, 0b001

P5 ON frame 118 bit 70: 0x00000000000000000, 0b001
P5 TRI frame 117 bit 70: 0x00000000000000000, 0b001
P5 TRI frame 118 bit 70: 0x00000000000000000, 0b001
P5 Q frame 116 bit 70: 0x00000000000000000, 0b001

P6 ON frame 131 bit 70: 0x00000000000000000, 0b000
P6 TRI frame 130 bit 70: 0x00000000000000000, 0b001
P6 Q frame 128 bit 70: 0x00000000000000000, 0b001

P7 ON frame 136 bit 70: 0x00000000000000000, 0b001
P7 TRI frame 135 bit 70: 0x00000000000000000, 0b001
P7 TRI frame 136 bit 70: 0x00000000000000000, 0b001
P7 Q frame 134 bit 70: 0x00000000000000000, 0b001

P8 ON frame 149 bit 70: 0x00000000000000000, 0b000
P8 TRI frame 148 bit 70: 0x00000000000000000, 0b001
P8 Q frame 146 bit 70: 0x00000000000000000, 0b001

P9 ON frame 154 bit 70: 0x00000000000000000, 0b001
P9 TRI frame 153 bit 70: 0x00000000000000000, 0b001
P9 TRI frame 154 bit 70: 0x00000000000000000, 0b001
P9 Q frame 152 bit 70: 0x00000000000000000, 0b001

P11 ON frame 158 bit 64: 0x00000000000000008, 0b000
P11 TRI frame 158 bit 64: 0x00000000000000008, 0b000
P11 Q frame 158 bit 62: 0x00000000000000020, 0b000

P12 ON frame 158 bit 57: 0x00000000000000400, 0b000
P12 TRI frame 158 bit 57: 0x00000000000000400, 0b000
P12 Q frame 159 bit 61: 0x00000000000000040, 0b000

P13 ON frame 158 bit 56: 0x00000000000000800, 0b000
P13 TRI frame 158 bit 56: 0x00000000000000800, 0b000
P13 Q frame 158 bit 54: 0x00000000000002000, 0b000

P14 ON frame 158 bit 49: 0x00000000000040000, 0b000
P14 TRI frame 158 bit 49: 0x00000000000040000, 0b000
P14 Q frame 159 bit 53: 0x00000000000004000, 0b000

P15 ON frame 158 bit 48: 0x00000000000080000, 0b000
P15 TRI frame 158 bit 48: 0x00000000000080000, 0b000
P15 Q frame 158 bit 46: 0x00000000000200000, 0b000

P16 ON frame 158 bit 40: 0x00000000008000000, 0b000
P16 TRI frame 158 bit 40: 0x00000000008000000, 0b000
P16 Q frame 159 bit 44: 0x00000000000800000, 0b000

P17 ON frame 158 bit 39: 0x00000000010000000, 0b000
P17 TRI frame 158 bit 39: 0x00000000010000000, 0b000
P17 Q frame 158 bit 37: 0x00000000040000000, 0b000

P19 ON frame 158 bit 31: 0x00000001000000000, 0b000
P19 TRI frame 158 bit 31: 0x00000001000000000, 0b000
P19 Q frame 158 bit 29: 0x00000004000000000, 0b000

P20 ON frame 158 bit 24: 0x00000080000000000, 0b000
P20 TRI frame 158 bit 24: 0x00000080000000000, 0b000
P20 Q frame 159 bit 28: 0x00000008000000000, 0b000

P21 ON frame 158 bit 23: 0x00000100000000000, 0b000
P21 TRI frame 158 bit 23: 0x00000100000000000, 0b000
P21 Q frame 158 bit 21: 0x00000400000000000, 0b000

P22 ON frame 158 bit 15: 0x00010000000000000, 0b000
P22 TRI frame 158 bit 15: 0x00010000000000000, 0b000
P22 Q frame 159 bit 19: 0x00001000000000000, 0b000

P23 ON frame 158 bit 14: 0x00020000000000000, 0b000
P23 TRI frame 158 bit 14: 0x00020000000000000, 0b000
P23 Q frame 158 bit 12: 0x00080000000000000, 0b000

P24 ON frame 158 bit 7: 0x01000000000000000, 0b000
P24 TRI frame 158 bit 7: 0x01000000000000000, 0b000
P24 Q frame 159 bit 11: 0x00100000000000000, 0b000

P27 ON frame 154 bit 0: 0x80000000000000000, 0b000
P27 TRI frame 153 bit 0: 0x80000000000000000, 0b000
P27 TRI frame 154 bit 0: 0x80000000000000000, 0b000
P27 Q frame 152 bit 0: 0x80000000000000000, 0b000

P28 ON frame 149 bit 0: 0x00000000000000000, 0b000
P28 TRI frame 148 bit 0: 0x80000000000000000, 0b000
P28 Q frame 146 bit 0: 0x80000000000000000, 0b000

P29 ON frame 136 bit 0: 0x80000000000000000, 0b000
P29 TRI frame 135 bit 0: 0x80000000000000000, 0b000
P29 TRI frame 136 bit 0: 0x80000000000000000, 0b000
P29 Q frame 134 bit 0: 0x80000000000000000, 0b000

P30 ON frame 131 bit 0: 0x00000000000000000, 0b000
P30 TRI frame 130 bit 0: 0x80000000000000000, 0b000
P30 Q frame 128 bit 0: 0x80000000000000000, 0b000

P31 ON frame 118 bit 0: 0x80000000000000000, 0b000
P31 TRI frame 117 bit 0: 0x80000000000000000, 0b000
P31 TRI frame 118 bit 0: 0x80000000000000000, 0b000
P31 Q frame 116 bit 0: 0x80000000000000000, 0b000

P32 ON frame 113 bit 0: 0x00000000000000000, 0b000
P32 TRI frame 112 bit 0: 0x80000000000000000, 0b000
P32 Q frame 110 bit 0: 0x80000000000000000, 0b000

P33 ON frame 98 bit 0: 0x80000000000000000, 0b000
P33 TRI frame 97 bit 0: 0x80000000000000000, 0b000
P33 TRI frame 98 bit 0: 0x80000000000000000, 0b000
P33 Q frame 96 bit 0: 0x80000000000000000, 0b000

P34 ON frame 93 bit 0: 0x00000000000000000, 0b000
P34 TRI frame 92 bit 0: 0x80000000000000000, 0b000
P34 Q frame 90 bit 0: 0x80000000000000000, 0b000

P36 ON frame 80 bit 0: 0x80000000000000000, 0b000
P36 TRI frame 79 bit 0: 0x80000000000000000, 0b000
P36 TRI frame 80 bit 0: 0x80000000000000000, 0b000
P36 Q frame 78 bit 0: 0x80000000000000000, 0b000

P37 ON frame 75 bit 0: 0x00000000000000000, 0b000
P37 TRI frame 74 bit 0: 0x80000000000000000, 0b000
P37 Q frame 72 bit 0: 0x80000000000000000, 0b000

P38 ON frame 62 bit 0: 0x80000000000000000, 0b000
P38 TRI frame 61 bit 0: 0x80000000000000000, 0b000
P38 TRI frame 62 bit 0: 0x80000000000000000, 0b000
P38 Q frame 60 bit 0: 0x80000000000000000, 0b000

P39 ON frame 57 bit 0: 0x00000000000000000, 0b000
P39 TRI frame 56 bit 0: 0x80000000000000000, 0b000
P39 Q frame 54 bit 0: 0x80000000000000000, 0b000

P40 ON frame 42 bit 0: 0x80000000000000000, 0b000
P40 TRI frame 41 bit 0: 0x80000000000000000, 0b000
P40 TRI frame 42 bit 0: 0x80000000000000000, 0b000
P40 Q frame 40 bit 0: 0x80000000000000000, 0b000

P41 ON frame 37 bit 0: 0x00000000000000000, 0b000
P41 TRI frame 36 bit 0: 0x80000000000000000, 0b000
P41 Q frame 34 bit 0: 0x80000000000000000, 0b000

P42 ON frame 24 bit 0: 0x80000000000000000, 0b000
P42 TRI frame 23 bit 0: 0x80000000000000000, 0b000
P42 TRI frame 24 bit 0: 0x80000000000000000, 0b000
P42 Q frame 22 bit 0: 0x80000000000000000, 0b000

P43 ON frame 19 bit 0: 0x00000000000000000, 0b000
P43 TRI frame 18 bit 0: 0x80000000000000000, 0b000
P43 Q frame 16 bit 0: 0x80000000000000000, 0b000

P46 ON frame 3 bit 4: 0x00000000000000000, 0b000
P46 TRI frame 1 bit 5: 0x04000000000000000, 0b000
P46 Q frame 0 bit 5: 0x04000000000000000, 0b000

P47 ON frame 5 bit 12: 0x00000000000000000, 0b000
P47 TRI frame 4 bit 12: 0x00080000000000000, 0b000
P47 Q frame 2 bit 12: 0x00080000000000000, 0b000

P48 ON frame 3 bit 12: 0x00000000000000000, 0b000
P48 TRI frame 1 bit 13: 0x00040000000000000, 0b000
P48 Q frame 0 bit 13: 0x00040000000000000, 0b000

P49 ON frame 5 bit 21: 0x00000000000000000, 0b000
P49 TRI frame 4 bit 21: 0x00000400000000000, 0b000
P49 Q frame 2 bit 21: 0x00000400000000000, 0b000

P50 ON frame 3 bit 21: 0x00000000000000000, 0b000
P50 TRI frame 1 bit 22: 0x00000200000000000, 0b000
P50 Q frame 0 bit 22: 0x00000200000000000, 0b000

P51 ON frame 5 bit 29: 0x00000000000000000, 0b000
P51 TRI frame 4 bit 29: 0x00000004000000000, 0b000
P51 Q frame 2 bit 29: 0x00000004000000000, 0b000

P53 ON frame 5 bit 37: 0x00000000000000000, 0b000
P53 TRI frame 4 bit 37: 0x00000000040000000, 0b000
P53 Q frame 2 bit 37: 0x00000000040000000, 0b000

P54 ON frame 3 bit 37: 0x00000000000000000, 0b000
P54 TRI frame 1 bit 38: 0x00000000020000000, 0b000
P54 Q frame 0 bit 38: 0x00000000020000000, 0b000

P55 ON frame 5 bit 46: 0x00000000000000000, 0b000
P55 TRI frame 4 bit 46: 0x00000000000200000, 0b000
P55 Q frame 2 bit 46: 0x00000000000200000, 0b000

P56 ON frame 3 bit 46: 0x00000000000000000, 0b000
P56 TRI frame 1 bit 47: 0x00000000000100000, 0b000
P56 Q frame 0 bit 47: 0x00000000000100000, 0b000

P57 ON frame 5 bit 54: 0x00000000000000000, 0b000
P57 TRI frame 4 bit 54: 0x00000000000002000, 0b000
P57 Q frame 2 bit 54: 0x00000000000002000, 0b000

P58 ON frame 3 bit 54: 0x00000000000000000, 0b000
P58 TRI frame 1 bit 55: 0x00000000000001000, 0b000
P58 Q frame 0 bit 55: 0x00000000000001000, 0b000

P59 ON frame 5 bit 62: 0x00000000000000000, 0b000
P59 TRI frame 4 bit 62: 0x00000000000000020, 0b000
